Time;Altitude;Vertical Velocity;Horizontal Velocity;Total Velocity;Drag;Displacement
0;84.81056254;1.123494496;0.016410857;1.123614346;23.06548555;0.266905017
1,02;87.89628774;4.927514086;0.054965078;4.927820637;556.6556602;3.330184602
1,88;93.61358648;8.285636448;0.092614468;8.286154041;1562.8952;9.047822612
2,72;102.0093257;11.6185027;0.130995239;11.61924114;2923.424652;17.44407866
3,6;113.8316632;15.16413154;0.173052459;15.16511894;4762.642936;29.26716538
4,48;128.7992298;18.76544585;0.216661434;18.76669657;7063.282558;44.23570597
5,32;146.0651951;22.25320958;0.258718047;22.25471347;9648.65352;61.50281879
6,14;165.7666377;25.7079598;0.303557154;25.70975193;12847.75944;81.20560034
7,04;190.6759915;29.55471457;0.353808499;29.55683227;16951.99068;106.7097157
7,94;219.0732526;33.45728659;0.40356048;33.45972037;21668.67148;134.5159946
8,96;255.5361033;37.94646168;0.461807185;37.94927166;27774.94665;170.9815001
9,84;290.7001111;41.87514717;0.513467085;41.87829508;33704.47375;206.1481096
10,78;332.106983;46.12765649;0.569151381;46.13116763;40722.37976;248.4826848
11,88;385.6763575;51.17604978;0.630550954;51.17993421;49829.8265;301.1314886
12,72;430.3478152;55.08248973;0.680777104;55.0866965;57449.13614;346.9100699
13,56;478.3195314;59.03250309;0.727841386;59.13156919;65832.36348;396.1491162
14,82;556.5442661;65.03747677;0.797089538;65.04236109;78984.18364;472.0122036
15,8;622.6523724;69.77274419;0.847557876;69.77789182;90262.88575;538.1251443
16,82;696.4176668;74.7599485;0.895933845;74.76531681;102815.5205;611.8956681
17,76;768.9272627;79.40775672;0.935372856;79.41326558;115079.9441;684.4101813
18,58;835.7659011;83.50204799;0.96897153;83.50766986;126321.0207;751.2531362
19,46;911.247808;87.93609281;1.003769237;87.94182151;138985.8306;826.7396634
20,6;1014.865823;93.74150309;1.053509131;93.74742281;156016.2811;932.2406937
21,6;1111.237877;98.88988156;1.107114603;98.89607868;171778.5028;1026.740523
22,52;1204.469229;103.6716887;1.171200585;103.6783041;187203.5511;1122.052127
23,6;1319.556842;109.3397519;1.264581805;109.3470645;204954.5257;1235.068997
24,48;1417.879679;114.0030311;1.366184443;114.0112168;219877.4846;1333.395903
25,44;1529.843657;119.1373303;1.515071782;119.1469635;236386.7296;1445.364415
26,34;1639.307761;123.9962773;1.691753805;124.0078176;252014.8692;1554.833031
27,36;1768.680958;129.5576945;1.920403453;129.5719266;269811.9221;1684.21192
28,34;1898.353099;134.9588457;2.199118136;134.9767616;286655.0588;1813.89047
29,36;2038.9719;140.6433472;2.547419651;140.6664155;304586.5671;1954.517665
30,36;2182.494209;146.2783185;2.934587496;146.3077519;322185.1802;2098.05059
31,28;2319.538933;151.5194095;3.342661277;151.5562761;338538.5831;2238.141229
32,24;2467.711484;157.047124;3.829015359;157.0937953;355467.5948;2383.297663
33,18;2617.96869;162.5209955;4.346890844;162.5791175;372205.342;2533.576655
34,08;2766.680535;167.8197209;4.895036501;167.891096;388421.522;2685.674743
36,94;3275.062858;185.4422978;7.000325169;186.1922753;438310.4891;3228.028003
41,18;4116.914452;212.2841973;10.81139495;213.2146929;509287.3184;4079.996462
45,44;5080.578904;240.807687;15.93887194;242.0317026;580832.5716;5046.111574
49,72;6174.712836;271.1859135;22.80698031;272.8828167;649698.2566;6148.311993
53,8;7338.5492;298.5029485;30.80498441;300.7828667;1024643.798;7326.974971
58,02;8636.611563;319.1010796;39.80955739;321.9525339;1290865.033;8622.384266
62,16;9998.586788;340.1297064;50.71251417;344.3796172;1197663.877;9996.84652
66,2;11431.52923;367.3002093;64.64163813;373.5781572;1057684.08;11440.20056
70,24;12973.12645;401.4032419;82.21391527;410.5273574;897427.52;13014.58258
74,18;14640.84397;442.784453;104.0183031;455.8009787;723633.2277;14717.58547
77,98;16400.30469;490.0828149;130.024584;508.173519;551752.9374;16523.83076
81,72;18330.82469;544.1851586;161.6799683;568.9882776;412048.1529;18495.10873
85,38;20426.7509;602.0495512;197.9124496;633.7452168;338145.6181;20584.10758
86,28;20975.66362;617.3221804;207.4838897;651.2574291;328808.0346;21167.22751
87,44;21703.21735;637.3945749;222.5020372;676.2351427;310772.4207;22018.5319
89,9;23306.61284;655.7645889;242.0657955;699.0157691;81995.13219;23589.03435
90,76;23872.5451;660.2214433;247.9573951;705.2483421;75313.85933;24183.02559
91,62;24442.31323;664.6797286;254.2182529;711.6361863;69751.90332;24782.17602
92,46;25002.5546;669.0829827;260.5741171;718.1867017;64494.6298;25386.57828
93,5;25701.33056;674.5715378;268.8002266;726.1544749;58748.49385;26110.37293
94,32;26256.33118;678.9414878;275.52888;732.7193921;54202.35034;26712.20635
95,16;26828.59411;683.5487174;283.1782073;740.5788887;49147.21931;27435.60388
96,94;28053.80779;693.0712563;298.4864017;754.6137412;41245.77719;28609.07084
97,8;28651.97308;697.845841;306.3471531;762.1268897;37697.78608;29248.17675
98,64;29240.17077;702.5803408;314.5140469;770.1235148;34384.2257;29938.49367
100,16;30314.41309;710.8447871;329.2972417;783.4136741;29500.24186;31032.95623
101,02;30927.87269;715.6399295;337.9948989;791.4423923;27014.69504;31694.87674
101,86;31531.02397;720.2748699;346.7565387;799.3972638;24861.92338;32363.0978
102,76;32181.5726;725.2308027;356.3678656;808.0580257;22738.40592;33069.22006
103,62;32807.36616;729.943432;365.777658;816.4623133;20898.40202;33734.6381
104,44;33407.81712;734.4118696;374.9539062;824.591551;19274.19545;34390.21076
105,28;34026.69956;738.9593581;384.560821;833.0353882;17709.2544;35067.98104
106,12;34649.38865;743.4757541;394.3731107;841.5974973;16254.18241;35752.09894
106,94;35260.89685;747.8508472;404.1495831;850.0692767;14941.58523;36426.11303
107,76;35875.97656;752.1882354;414.1217397;858.6524074;13732.34813;37106.29688
108,62;36524.86221;756.6931455;425.0406729;868.2002957;12519.6985;37860.01141
110,04;37604.68656;764.0093938;442.883308;883.0945466;10866.11053;39030.44978
110,86;38232.96839;768.2352298;453.5277898;892.1170463;10038.94825;39734.48781
111,72;38895.57742;772.5598891;464.9479155;901.6791816;9311.004251;40479.81475
112,58;39561.8767;776.8211523;476.5794361;911.3611038;8636.16683;41232.29692
113,46;40247.42725;781.0960385;488.7143224;921.3862981;7997.574933;42009.74617
114,3;40905.29125;785.0963834;500.5131083;931.0691182;7433.378719;42758.955
115,18;41598.04502;789.1938394;513.1032445;941.3298336;6917.151676;43551.33039
116,06;42294.36148;793.193666;525.9253339;951.710906;6440.165879;44351.42399
116,92;42978.20949;797.0078288;538.6770639;961.9742504;5997.782019;45140.84222
117,8;43681.31009;800.8055892;551.9541871;972.5960191;5577.941856;45956.358
118,7;44403.79597;804.5755265;565.7716571;983.5849459;5180.304342;46798.56043
119,6;45129.6198;808.228851;579.8274663;994.7028532;4810.549926;47649.0621
120,5;45858.67468;811.7554438;594.1248806;1005.947948;4468.67802;48507.92123
121,4;46590.84352;815.1546912;608.6605725;1017.322399;4149.555716;49375.19103
122,32;47342.3797;818.4867337;623.7689285;1029.081245;3846.400262;50270.48485
123,24;48096.9125;821.6741942;639.1259002;1040.975695;3561.857805;51174.68049
124,12;48821.31834;824.5833832;654.0470186;1052.480526;3304.653944;52047.9456
125,04;49581.31704;827.4669522;669.8919678;1064.639284;3048.847232;52969.72242
125,92;50310.68551;830.0766815;685.2779604;1076.398244;2814.794988;53859.90379
126,8;51042.28006;832.5279602;700.8927414;1088.280037;2593.173263;54758.42706
127,7;51792.65628;834.8651757;717.0983562;1100.55891;2379.25503;55686.04395
128,56;52511.57441;836.9385016;732.8031141;1112.414698;2186.631078;56580.66765
129,4;53215.42538;838.8030301;748.3510959;1124.108485;2010.645481;57462.2945
130,28;53954.39513;840.5810063;764.8593684;1136.479776;1838.679262;58394.21749
131,18;54711.69193;842.2091032;781.9739819;1149.260406;1675.665722;59356.1602
132,06;55453.49007;843.6141806;798.9311072;1161.88459;1527.533632;60305.40752
132,96;56213.33459;844.8488161;816.5023287;1174.923646;1391.571701;61285.14885
133,9;57008.0316;845.9205806;835.0969939;1188.683565;1273.513414;62318.10544
134,84;57803.62585;846.7576595;853.9394051;1202.585149;1172.564924;63360.98976
135,78;58599.8909;847.3549588;873.0269601;1216.629154;1079.6763;64413.83982
136,74;59412.59097;844.2085221;881.1345284;1220.28115;980.1490998;65497.25429
138,98;61293.12926;835.6701725;895.324702;1224.72485;156.4488929;68027.94671
140,02;62160.59261;832.3104987;905.4866718;1229.897101;158.2555595;69207.51048
141;62974.20416;828.1949827;915.3372847;1234.402396;142.589326;70322.25242
142,02;63816.89566;824.0801847;925.6098151;1239.298867;123.6000836;71485.73621
143,04;64655.16723;819.66334;935.9950168;1244.160224;101.5893474;72652.43914
144,02;65456.34579;815.3612069;946.0295429;1248.913846;81.7081112;73776.45683
145,04;66285.57368;810.6421772;956.5632481;1253.855648;60.05883387;74949.41523
146,06;67109.96391;805.7809897;967.1636494;1258.844124;41.96003857;76125.5108
147,04;67897.2454;800.9591379;977.4161349;1263.67632;26.32823336;77258.33931
147,86;68552.3216;796.8225958;986.0401;1267.754443;14.59494012;78231.56448
148,74;69251.45986;792.2166951;995.3455039;1272.132054;4.5051907;79230.02895
149,68;69993.76534;787.1804682;1005.332494;1276.850231;0.00533476;80323.77224
150,7;70793.79042;781.5487414;1016.226561;1282.004235;4.42E-08;81513.35592
151,74;71603.51247;775.773505;1027.392293;1287.384735;4.44E-08;82729.19847
152,14;71928.82358;773.4703965;1031.917357;1289.616178;4.44E-08;83221.09652
152,14;71928.82358;773.4703965;1031.917357;1289.616178;4.44E-08;83221.09652
